,ds,y,location
11681,2022-07-01,16485,인천터미널
11683,2022-07-02,15363,인천터미널
11685,2022-07-03,11677,인천터미널
11687,2022-07-04,13502,인천터미널
11689,2022-07-05,13853,인천터미널
11691,2022-07-06,13903,인천터미널
11693,2022-07-07,13269,인천터미널
11695,2022-07-08,16075,인천터미널
11697,2022-07-09,15189,인천터미널
11699,2022-07-10,11947,인천터미널
11701,2022-07-11,12267,인천터미널
11703,2022-07-12,13951,인천터미널
11705,2022-07-13,11407,인천터미널
11707,2022-07-14,14097,인천터미널
11709,2022-07-15,16153,인천터미널
11711,2022-07-16,14581,인천터미널
11713,2022-07-17,11418,인천터미널
11715,2022-07-18,12939,인천터미널
11717,2022-07-19,13456,인천터미널
11719,2022-07-20,13446,인천터미널
11721,2022-07-21,13166,인천터미널
11723,2022-07-22,15521,인천터미널
11725,2022-07-23,13559,인천터미널
11727,2022-07-24,10536,인천터미널
11729,2022-07-25,13109,인천터미널
11731,2022-07-26,13241,인천터미널
11733,2022-07-27,13442,인천터미널
11735,2022-07-28,13700,인천터미널
11737,2022-07-29,15533,인천터미널
11739,2022-07-30,13490,인천터미널
11741,2022-07-31,9770,인천터미널
11743,2022-08-01,12402,인천터미널
11745,2022-08-02,11550,인천터미널
11747,2022-08-03,12415,인천터미널
11749,2022-08-04,12798,인천터미널
11751,2022-08-05,14671,인천터미널
11753,2022-08-06,13295,인천터미널
11755,2022-08-07,10631,인천터미널
11757,2022-08-08,11108,인천터미널
11759,2022-08-09,10296,인천터미널
11761,2022-08-10,12658,인천터미널
11763,2022-08-11,12475,인천터미널
11765,2022-08-12,15710,인천터미널
11767,2022-08-13,13197,인천터미널
11769,2022-08-14,10923,인천터미널
11771,2022-08-15,9719,인천터미널
11773,2022-08-16,12926,인천터미널
11775,2022-08-17,13448,인천터미널
11777,2022-08-18,13385,인천터미널
11779,2022-08-19,14461,인천터미널
11781,2022-08-20,13602,인천터미널
11783,2022-08-21,10642,인천터미널
11785,2022-08-22,11551,인천터미널
