,ds,y,location
4381,2022-07-01,14122,작전
4383,2022-07-02,10126,작전
4385,2022-07-03,6778,작전
4387,2022-07-04,13563,작전
4389,2022-07-05,13620,작전
4391,2022-07-06,13589,작전
4393,2022-07-07,13312,작전
4395,2022-07-08,13974,작전
4397,2022-07-09,10372,작전
4399,2022-07-10,6834,작전
4401,2022-07-11,13558,작전
4403,2022-07-12,13859,작전
4405,2022-07-13,12431,작전
4407,2022-07-14,13861,작전
4409,2022-07-15,14188,작전
4411,2022-07-16,10071,작전
4413,2022-07-17,7186,작전
4415,2022-07-18,13257,작전
4417,2022-07-19,13522,작전
4419,2022-07-20,13512,작전
4421,2022-07-21,13207,작전
4423,2022-07-22,13397,작전
4425,2022-07-23,9594,작전
4427,2022-07-24,6482,작전
4429,2022-07-25,13115,작전
4431,2022-07-26,13174,작전
4433,2022-07-27,13033,작전
4435,2022-07-28,12913,작전
4437,2022-07-29,12820,작전
4439,2022-07-30,8372,작전
4441,2022-07-31,5641,작전
4443,2022-08-01,11187,작전
4445,2022-08-02,10996,작전
4447,2022-08-03,11267,작전
4449,2022-08-04,11869,작전
4451,2022-08-05,12173,작전
4453,2022-08-06,8866,작전
4455,2022-08-07,6258,작전
4457,2022-08-08,11340,작전
4459,2022-08-09,11381,작전
4461,2022-08-10,12443,작전
4463,2022-08-11,12350,작전
4465,2022-08-12,13466,작전
4467,2022-08-13,8548,작전
4469,2022-08-14,6418,작전
4471,2022-08-15,6475,작전
4473,2022-08-16,12988,작전
4475,2022-08-17,12933,작전
4477,2022-08-18,13043,작전
4479,2022-08-19,12802,작전
4481,2022-08-20,9400,작전
4483,2022-08-21,6531,작전
4485,2022-08-22,12894,작전
4487,2022-08-23,13070,작전
4489,2022-08-24,13210,작전
4491,2022-08-25,13194,작전
4493,2022-08-26,13787,작전
4495,2022-08-27,10252,작전
4497,2022-08-28,7170,작전
4499,2022-08-29,13239,작전
4501,2022-08-30,12724,작전
4503,2022-08-31,13805,작전
4505,2022-09-01,14304,작전
4507,2022-09-02,14606,작전
4509,2022-09-03,10461,작전
4511,2022-09-04,6005,작전
4513,2022-09-05,12277,작전
4515,2022-09-06,12754,작전
4517,2022-09-07,14421,작전
4519,2022-09-08,14561,작전
4521,2022-09-09,6303,작전
4523,2022-09-10,5388,작전
4525,2022-09-11,6201,작전
4527,2022-09-12,6641,작전
4529,2022-09-13,13411,작전
4531,2022-09-14,13844,작전
4533,2022-09-15,14167,작전
4535,2022-09-16,14333,작전
4537,2022-09-17,10297,작전
4539,2022-09-18,7159,작전
4541,2022-09-19,13676,작전
4543,2022-09-20,14083,작전
4545,2022-09-21,14220,작전
4547,2022-09-22,14328,작전
4549,2022-09-23,14433,작전
4551,2022-09-24,10896,작전
4553,2022-09-25,7478,작전
4555,2022-09-26,14010,작전
4557,2022-09-27,14178,작전
4559,2022-09-28,14217,작전
4561,2022-09-29,14257,작전
4563,2022-09-30,14837,작전
4565,2022-10-01,11573,작전
4567,2022-10-02,7633,작전
4569,2022-10-03,6093,작전
4571,2022-10-04,14019,작전
4573,2022-10-05,14436,작전
4575,2022-10-06,14306,작전
4577,2022-10-07,15203,작전
4579,2022-10-08,10895,작전
4581,2022-10-09,6576,작전
4583,2022-10-10,7193,작전
4585,2022-10-11,14380,작전
4587,2022-10-12,14260,작전
4589,2022-10-13,14497,작전
4591,2022-10-14,14703,작전
4593,2022-10-15,11012,작전
4595,2022-10-16,7364,작전
4597,2022-10-17,13836,작전
4599,2022-10-18,14362,작전
4601,2022-10-19,14341,작전
4603,2022-10-20,14519,작전
4605,2022-10-21,14821,작전
4607,2022-10-22,11362,작전
4609,2022-10-23,7485,작전
4611,2022-10-24,13961,작전
4613,2022-10-25,14467,작전
4615,2022-10-26,14439,작전
4617,2022-10-27,14414,작전
4619,2022-10-28,14941,작전
4621,2022-10-29,11308,작전
4623,2022-10-30,7192,작전
4625,2022-10-31,13789,작전
4627,2022-11-01,14170,작전
4629,2022-11-02,14310,작전
4631,2022-11-03,14117,작전
4633,2022-11-04,14537,작전
4635,2022-11-05,10775,작전
4637,2022-11-06,7124,작전
4639,2022-11-07,13867,작전
4641,2022-11-08,14348,작전
4643,2022-11-09,14273,작전
4645,2022-11-10,14258,작전
4647,2022-11-11,14453,작전
4649,2022-11-12,10502,작전
4651,2022-11-13,7185,작전
4653,2022-11-14,13612,작전
4655,2022-11-15,13979,작전
4657,2022-11-16,14392,작전
4659,2022-11-17,14248,작전
4661,2022-11-18,14432,작전
4663,2022-11-19,10611,작전
4665,2022-11-20,7043,작전
4667,2022-11-21,13699,작전
4669,2022-11-22,13966,작전
4671,2022-11-23,14233,작전
4673,2022-11-24,14241,작전
4675,2022-11-25,14486,작전
4677,2022-11-26,10605,작전
4679,2022-11-27,6944,작전
4681,2022-11-28,12982,작전
4683,2022-11-29,13695,작전
4685,2022-11-30,13377,작전
4687,2022-12-01,13456,작전
4689,2022-12-02,13893,작전
4691,2022-12-03,10663,작전
4693,2022-12-04,6817,작전
4695,2022-12-05,13346,작전
4697,2022-12-06,13870,작전
4699,2022-12-07,13955,작전
4701,2022-12-08,13947,작전
4703,2022-12-09,14533,작전
4705,2022-12-10,11227,작전
4707,2022-12-11,7557,작전
4709,2022-12-12,13240,작전
4711,2022-12-13,14416,작전
4713,2022-12-14,13440,작전
4715,2022-12-15,14331,작전
4717,2022-12-16,14353,작전
4719,2022-12-17,11769,작전
4721,2022-12-18,6944,작전
4723,2022-12-19,13255,작전
4725,2022-12-20,13837,작전
4727,2022-12-21,14851,작전
4729,2022-12-22,13778,작전
4731,2022-12-23,13361,작전
4733,2022-12-24,9460,작전
4735,2022-12-25,7153,작전
4737,2022-12-26,12979,작전
4739,2022-12-27,13351,작전
4741,2022-12-28,13382,작전
4743,2022-12-29,13289,작전
4745,2022-12-30,13494,작전
4747,2022-12-31,8743,작전
4749,2023-01-01,5773,작전
4751,2023-01-02,12477,작전
4753,2023-01-03,12935,작전
4755,2023-01-04,13108,작전
4757,2023-01-05,12941,작전
4759,2023-01-06,13769,작전
4761,2023-01-07,9934,작전
4763,2023-01-08,6523,작전
4765,2023-01-09,13240,작전
4767,2023-01-10,13440,작전
4769,2023-01-11,13732,작전
4771,2023-01-12,13483,작전
4773,2023-01-13,12963,작전
4775,2023-01-14,9982,작전
4777,2023-01-15,6626,작전
4779,2023-01-16,13466,작전
4781,2023-01-17,13472,작전
4783,2023-01-18,13522,작전
4785,2023-01-19,13536,작전
4787,2023-01-20,13072,작전
4789,2023-01-21,5908,작전
4791,2023-01-22,5215,작전
4793,2023-01-23,5750,작전
4795,2023-01-24,4855,작전
4797,2023-01-25,11873,작전
4799,2023-01-26,14031,작전
4801,2023-01-27,13651,작전
4803,2023-01-28,9809,작전
4805,2023-01-29,6760,작전
4807,2023-01-30,13423,작전
4809,2023-01-31,13462,작전
4811,2023-02-01,13623,작전
4813,2023-02-02,13524,작전
4815,2023-02-03,13882,작전
4817,2023-02-04,10412,작전
4819,2023-02-05,7102,작전
4821,2023-02-06,13301,작전
4823,2023-02-07,13681,작전
4825,2023-02-08,13580,작전
4827,2023-02-09,13627,작전
4829,2023-02-10,13995,작전
4831,2023-02-11,10948,작전
4833,2023-02-12,7095,작전
4835,2023-02-13,13579,작전
4837,2023-02-14,13864,작전
4839,2023-02-15,13861,작전
4841,2023-02-16,13669,작전
4843,2023-02-17,13961,작전
4845,2023-02-18,10810,작전
4847,2023-02-19,7216,작전
4849,2023-02-20,13423,작전
4851,2023-02-21,13458,작전
4853,2023-02-22,13847,작전
4855,2023-02-23,13691,작전
4857,2023-02-24,14057,작전
4859,2023-02-25,10797,작전
4861,2023-02-26,7245,작전
4863,2023-02-27,13764,작전
4865,2023-02-28,13666,작전
4867,2023-03-01,7889,작전
4869,2023-03-02,14146,작전
4871,2023-03-03,14436,작전
4873,2023-03-04,10457,작전
4875,2023-03-05,7090,작전
4877,2023-03-06,14150,작전
4879,2023-03-07,14381,작전
4881,2023-03-08,14123,작전
4883,2023-03-09,14176,작전
4885,2023-03-10,14607,작전
4887,2023-03-11,11051,작전
4889,2023-03-12,6535,작전
4891,2023-03-13,13866,작전
4893,2023-03-14,14232,작전
4895,2023-03-15,14257,작전
4897,2023-03-16,14274,작전
4899,2023-03-17,14677,작전
4901,2023-03-18,10942,작전
4903,2023-03-19,7383,작전
4905,2023-03-20,14061,작전
4907,2023-03-21,14445,작전
4909,2023-03-22,14284,작전
4911,2023-03-23,14175,작전
4913,2023-03-24,14664,작전
4915,2023-03-25,10962,작전
4917,2023-03-26,7510,작전
4919,2023-03-27,14274,작전
4921,2023-03-28,14213,작전
4923,2023-03-29,14333,작전
4925,2023-03-30,14490,작전
4927,2023-03-31,14684,작전
4929,2023-04-01,11096,작전
4931,2023-04-02,7584,작전
4933,2023-04-03,14174,작전
4935,2023-04-04,14304,작전
4937,2023-04-05,13138,작전
4939,2023-04-06,14140,작전
4941,2023-04-07,14957,작전
4943,2023-04-08,10848,작전
4945,2023-04-09,7478,작전
4947,2023-04-10,14433,작전
4949,2023-04-11,13746,작전
4951,2023-04-12,14674,작전
4953,2023-04-13,14374,작전
4955,2023-04-14,14854,작전
4957,2023-04-15,10308,작전
4959,2023-04-16,7312,작전
4961,2023-04-17,14111,작전
4963,2023-04-18,13900,작전
4965,2023-04-19,14717,작전
4967,2023-04-20,14168,작전
4969,2023-04-21,14714,작전
4971,2023-04-22,10916,작전
4973,2023-04-23,7199,작전
4975,2023-04-24,14183,작전
4977,2023-04-25,13983,작전
4979,2023-04-26,14445,작전
4981,2023-04-27,14629,작전
4983,2023-04-28,15013,작전
4985,2023-04-29,10073,작전
4987,2023-04-30,7639,작전
4989,2023-05-01,10310,작전
4991,2023-05-02,14658,작전
4993,2023-05-03,14745,작전
4995,2023-05-04,15044,작전
4997,2023-05-05,6588,작전
4999,2023-05-06,8234,작전
5001,2023-05-07,7343,작전
5003,2023-05-08,14618,작전
5005,2023-05-09,14926,작전
5007,2023-05-10,14887,작전
5009,2023-05-11,14565,작전
5011,2023-05-12,15328,작전
5013,2023-05-13,11502,작전
5015,2023-05-14,7765,작전
5017,2023-05-15,14466,작전
5019,2023-05-16,14624,작전
5021,2023-05-17,14525,작전
5023,2023-05-18,14504,작전
5025,2023-05-19,15088,작전
5027,2023-05-20,11362,작전
5029,2023-05-21,7390,작전
5031,2023-05-22,14268,작전
5033,2023-05-23,14766,작전
5035,2023-05-24,14729,작전
5037,2023-05-25,15057,작전
5039,2023-05-26,14872,작전
5041,2023-05-27,8343,작전
5043,2023-05-28,6256,작전
5045,2023-05-29,8696,작전
5047,2023-05-30,14633,작전
5049,2023-05-31,14482,작전
5051,2023-06-01,14383,작전
5053,2023-06-02,14811,작전
5055,2023-06-03,10813,작전
5057,2023-06-04,7288,작전
