,ds,y,location
5059,2023-06-05,12678,작전
5061,2023-06-06,7761,작전
5063,2023-06-07,14207,작전
5065,2023-06-08,13957,작전
5067,2023-06-09,14415,작전
5069,2023-06-10,10348,작전
5071,2023-06-11,7005,작전
5073,2023-06-12,14121,작전
5075,2023-06-13,14239,작전
5077,2023-06-14,14273,작전
5079,2023-06-15,14031,작전
5081,2023-06-16,14608,작전
5083,2023-06-17,11091,작전
5085,2023-06-18,7114,작전
5087,2023-06-19,13692,작전
5089,2023-06-20,13726,작전
5091,2023-06-21,13537,작전
5093,2023-06-22,13898,작전
5095,2023-06-23,14342,작전
5097,2023-06-24,10548,작전
5099,2023-06-25,7168,작전
5101,2023-06-26,12840,작전
5103,2023-06-27,13656,작전
5105,2023-06-28,13949,작전
5107,2023-06-29,12431,작전
5109,2023-06-30,14243,작전
