,ds,y,location
29201,2022-07-01,10113,가정
29203,2022-07-02,6066,가정
29205,2022-07-03,4273,가정
29207,2022-07-04,9675,가정
29209,2022-07-05,9874,가정
29211,2022-07-06,9824,가정
29213,2022-07-07,9622,가정
29215,2022-07-08,9876,가정
29217,2022-07-09,6464,가정
29219,2022-07-10,4254,가정
29221,2022-07-11,9592,가정
29223,2022-07-12,10015,가정
29225,2022-07-13,8947,가정
29227,2022-07-14,9812,가정
29229,2022-07-15,10171,가정
29231,2022-07-16,6047,가정
29233,2022-07-17,4144,가정
29235,2022-07-18,9501,가정
29237,2022-07-19,9793,가정
29239,2022-07-20,9885,가정
29241,2022-07-21,9361,가정
29243,2022-07-22,9609,가정
29245,2022-07-23,5838,가정
29247,2022-07-24,4147,가정
29249,2022-07-25,9007,가정
29251,2022-07-26,9233,가정
29253,2022-07-27,9152,가정
29255,2022-07-28,8815,가정
29257,2022-07-29,8564,가정
29259,2022-07-30,5026,가정
29261,2022-07-31,3435,가정
29263,2022-08-01,7300,가정
29265,2022-08-02,7196,가정
29267,2022-08-03,7896,가정
29269,2022-08-04,8394,가정
29271,2022-08-05,8412,가정
29273,2022-08-06,5409,가정
29275,2022-08-07,3898,가정
29277,2022-08-08,8030,가정
29279,2022-08-09,7793,가정
29281,2022-08-10,8798,가정
29283,2022-08-11,8665,가정
29285,2022-08-12,9228,가정
29287,2022-08-13,5168,가정
29289,2022-08-14,4027,가정
29291,2022-08-15,4019,가정
29293,2022-08-16,8826,가정
29295,2022-08-17,9335,가정
29297,2022-08-18,9515,가정
29299,2022-08-19,9250,가정
29301,2022-08-20,5895,가정
29303,2022-08-21,4053,가정
29305,2022-08-22,9195,가정
29307,2022-08-23,9272,가정
29309,2022-08-24,9665,가정
29311,2022-08-25,9370,가정
29313,2022-08-26,9777,가정
29315,2022-08-27,6369,가정
29317,2022-08-28,4421,가정
29319,2022-08-29,9343,가정
29321,2022-08-30,9159,가정
29323,2022-08-31,9815,가정
29325,2022-09-01,10061,가정
29327,2022-09-02,10430,가정
29329,2022-09-03,6450,가정
29331,2022-09-04,3776,가정
29333,2022-09-05,8663,가정
29335,2022-09-06,9047,가정
29337,2022-09-07,10103,가정
29339,2022-09-08,9737,가정
29341,2022-09-09,3467,가정
29343,2022-09-10,2742,가정
29345,2022-09-11,3736,가정
29347,2022-09-12,3963,가정
29349,2022-09-13,9617,가정
29351,2022-09-14,10128,가정
29353,2022-09-15,10084,가정
29355,2022-09-16,10227,가정
29357,2022-09-17,6533,가정
29359,2022-09-18,4443,가정
29361,2022-09-19,9897,가정
29363,2022-09-20,10265,가정
29365,2022-09-21,10434,가정
29367,2022-09-22,10311,가정
29369,2022-09-23,10653,가정
29371,2022-09-24,6711,가정
29373,2022-09-25,4738,가정
29375,2022-09-26,9979,가정
29377,2022-09-27,10396,가정
29379,2022-09-28,10631,가정
29381,2022-09-29,10258,가정
29383,2022-09-30,10538,가정
29385,2022-10-01,6406,가정
29387,2022-10-02,4591,가정
29389,2022-10-03,3970,가정
29391,2022-10-04,10198,가정
29393,2022-10-05,10416,가정
29395,2022-10-06,10626,가정
29397,2022-10-07,10582,가정
29399,2022-10-08,6557,가정
29401,2022-10-09,4124,가정
29403,2022-10-10,4715,가정
29405,2022-10-11,10329,가정
29407,2022-10-12,10579,가정
29409,2022-10-13,10807,가정
29411,2022-10-14,10612,가정
29413,2022-10-15,6698,가정
29415,2022-10-16,4602,가정
29417,2022-10-17,10155,가정
29419,2022-10-18,10646,가정
29421,2022-10-19,10539,가정
29423,2022-10-20,10579,가정
29425,2022-10-21,10625,가정
29427,2022-10-22,6589,가정
29429,2022-10-23,4674,가정
29431,2022-10-24,10017,가정
29433,2022-10-25,10315,가정
29435,2022-10-26,10503,가정
29437,2022-10-27,10481,가정
29439,2022-10-28,10781,가정
29441,2022-10-29,6830,가정
29443,2022-10-30,4719,가정
29445,2022-10-31,9985,가정
29447,2022-11-01,10217,가정
29449,2022-11-02,10556,가정
29451,2022-11-03,10169,가정
29453,2022-11-04,10476,가정
29455,2022-11-05,6415,가정
29457,2022-11-06,4662,가정
29459,2022-11-07,9841,가정
29461,2022-11-08,10309,가정
29463,2022-11-09,10363,가정
29465,2022-11-10,10424,가정
29467,2022-11-11,10350,가정
29469,2022-11-12,6252,가정
29471,2022-11-13,4391,가정
29473,2022-11-14,9439,가정
29475,2022-11-15,9736,가정
29477,2022-11-16,10349,가정
29479,2022-11-17,10201,가정
29481,2022-11-18,10090,가정
29483,2022-11-19,6262,가정
29485,2022-11-20,4666,가정
29487,2022-11-21,10040,가정
29489,2022-11-22,10142,가정
29491,2022-11-23,10419,가정
29493,2022-11-24,10330,가정
29495,2022-11-25,10291,가정
29497,2022-11-26,6468,가정
29499,2022-11-27,4379,가정
29501,2022-11-28,9438,가정
29503,2022-11-29,9896,가정
29505,2022-11-30,9893,가정
29507,2022-12-01,9752,가정
29509,2022-12-02,9912,가정
29511,2022-12-03,6334,가정
29513,2022-12-04,4183,가정
29515,2022-12-05,9478,가정
29517,2022-12-06,9961,가정
29519,2022-12-07,10075,가정
29521,2022-12-08,10212,가정
29523,2022-12-09,10449,가정
29525,2022-12-10,6785,가정
29527,2022-12-11,4658,가정
29529,2022-12-12,9688,가정
29531,2022-12-13,10307,가정
29533,2022-12-14,10046,가정
29535,2022-12-15,10562,가정
29537,2022-12-16,10384,가정
29539,2022-12-17,7075,가정
29541,2022-12-18,4379,가정
29543,2022-12-19,9549,가정
29545,2022-12-20,10079,가정
29547,2022-12-21,11348,가정
29549,2022-12-22,10224,가정
29551,2022-12-23,9499,가정
29553,2022-12-24,5703,가정
29555,2022-12-25,4238,가정
29557,2022-12-26,9341,가정
29559,2022-12-27,9712,가정
29561,2022-12-28,9931,가정
29563,2022-12-29,9518,가정
29565,2022-12-30,9287,가정
29567,2022-12-31,5269,가정
29569,2023-01-01,3703,가정
29571,2023-01-02,8900,가정
29573,2023-01-03,9359,가정
29575,2023-01-04,9566,가정
29577,2023-01-05,9521,가정
29579,2023-01-06,9770,가정
29581,2023-01-07,6017,가정
29583,2023-01-08,4273,가정
29585,2023-01-09,9414,가정
29587,2023-01-10,9763,가정
29589,2023-01-11,10021,가정
29591,2023-01-12,9872,가정
29593,2023-01-13,9609,가정
29595,2023-01-14,6046,가정
