,ds,y,location
33581,2022-07-01,2927,주안국가산단
33583,2022-07-02,673,주안국가산단
33585,2022-07-03,363,주안국가산단
33587,2022-07-04,3002,주안국가산단
33589,2022-07-05,3014,주안국가산단
33591,2022-07-06,3013,주안국가산단
33593,2022-07-07,3007,주안국가산단
33595,2022-07-08,2908,주안국가산단
33597,2022-07-09,796,주안국가산단
33599,2022-07-10,287,주안국가산단
33601,2022-07-11,2939,주안국가산단
33603,2022-07-12,3079,주안국가산단
33605,2022-07-13,2957,주안국가산단
33607,2022-07-14,3108,주안국가산단
33609,2022-07-15,2983,주안국가산단
33611,2022-07-16,673,주안국가산단
33613,2022-07-17,364,주안국가산단
33615,2022-07-18,3035,주안국가산단
33617,2022-07-19,3040,주안국가산단
33619,2022-07-20,3007,주안국가산단
33621,2022-07-21,3048,주안국가산단
33623,2022-07-22,2963,주안국가산단
33625,2022-07-23,743,주안국가산단
33627,2022-07-24,316,주안국가산단
33629,2022-07-25,2937,주안국가산단
33631,2022-07-26,2998,주안국가산단
33633,2022-07-27,2935,주안국가산단
33635,2022-07-28,2797,주안국가산단
33637,2022-07-29,2531,주안국가산단
33639,2022-07-30,476,주안국가산단
33641,2022-07-31,274,주안국가산단
33643,2022-08-01,1385,주안국가산단
33645,2022-08-02,1373,주안국가산단
33647,2022-08-03,1410,주안국가산단
33649,2022-08-04,2129,주안국가산단
33651,2022-08-05,2086,주안국가산단
33653,2022-08-06,608,주안국가산단
33655,2022-08-07,312,주안국가산단
33657,2022-08-08,2694,주안국가산단
33659,2022-08-09,2677,주안국가산단
33661,2022-08-10,2724,주안국가산단
33663,2022-08-11,2775,주안국가산단
33665,2022-08-12,2719,주안국가산단
33667,2022-08-13,710,주안국가산단
33669,2022-08-14,269,주안국가산단
33671,2022-08-15,562,주안국가산단
33673,2022-08-16,2841,주안국가산단
33675,2022-08-17,2927,주안국가산단
33677,2022-08-18,2940,주안국가산단
33679,2022-08-19,2890,주안국가산단
33681,2022-08-20,787,주안국가산단
33683,2022-08-21,334,주안국가산단
33685,2022-08-22,2877,주안국가산단
33687,2022-08-23,2933,주안국가산단
33689,2022-08-24,2925,주안국가산단
33691,2022-08-25,2927,주안국가산단
33693,2022-08-26,2869,주안국가산단
33695,2022-08-27,749,주안국가산단
33697,2022-08-28,325,주안국가산단
33699,2022-08-29,2876,주안국가산단
33701,2022-08-30,2883,주안국가산단
33703,2022-08-31,2971,주안국가산단
33705,2022-09-01,2890,주안국가산단
33707,2022-09-02,2937,주안국가산단
33709,2022-09-03,790,주안국가산단
33711,2022-09-04,323,주안국가산단
33713,2022-09-05,2841,주안국가산단
33715,2022-09-06,2899,주안국가산단
33717,2022-09-07,2957,주안국가산단
33719,2022-09-08,2702,주안국가산단
33721,2022-09-09,269,주안국가산단
33723,2022-09-10,194,주안국가산단
33725,2022-09-11,193,주안국가산단
33727,2022-09-12,353,주안국가산단
33729,2022-09-13,2577,주안국가산단
33731,2022-09-14,2898,주안국가산단
33733,2022-09-15,2968,주안국가산단
33735,2022-09-16,2962,주안국가산단
33737,2022-09-17,866,주안국가산단
33739,2022-09-18,373,주안국가산단
33741,2022-09-19,2953,주안국가산단
33743,2022-09-20,2958,주안국가산단
33745,2022-09-21,2988,주안국가산단
33747,2022-09-22,2979,주안국가산단
33749,2022-09-23,2924,주안국가산단
33751,2022-09-24,782,주안국가산단
33753,2022-09-25,320,주안국가산단
33755,2022-09-26,2942,주안국가산단
33757,2022-09-27,2997,주안국가산단
33759,2022-09-28,2995,주안국가산단
33761,2022-09-29,2976,주안국가산단
33763,2022-09-30,2941,주안국가산단
33765,2022-10-01,695,주안국가산단
33767,2022-10-02,333,주안국가산단
33769,2022-10-03,561,주안국가산단
33771,2022-10-04,2993,주안국가산단
33773,2022-10-05,3042,주안국가산단
33775,2022-10-06,3015,주안국가산단
33777,2022-10-07,3025,주안국가산단
33779,2022-10-08,764,주안국가산단
33781,2022-10-09,317,주안국가산단
33783,2022-10-10,668,주안국가산단
33785,2022-10-11,2925,주안국가산단
33787,2022-10-12,3036,주안국가산단
33789,2022-10-13,3060,주안국가산단
33791,2022-10-14,3007,주안국가산단
33793,2022-10-15,797,주안국가산단
33795,2022-10-16,365,주안국가산단
33797,2022-10-17,2941,주안국가산단
33799,2022-10-18,3039,주안국가산단
33801,2022-10-19,3039,주안국가산단
33803,2022-10-20,3079,주안국가산단
33805,2022-10-21,2951,주안국가산단
33807,2022-10-22,825,주안국가산단
33809,2022-10-23,389,주안국가산단
33811,2022-10-24,2969,주안국가산단
33813,2022-10-25,3065,주안국가산단
