,ds,y,location
6571,2022-07-01,13707,부평시장
6573,2022-07-02,9286,부평시장
6575,2022-07-03,6850,부평시장
6577,2022-07-04,13226,부평시장
6579,2022-07-05,13257,부평시장
6581,2022-07-06,13247,부평시장
6583,2022-07-07,12851,부평시장
6585,2022-07-08,13587,부평시장
6587,2022-07-09,9275,부평시장
6589,2022-07-10,6888,부평시장
6591,2022-07-11,12872,부평시장
6593,2022-07-12,13223,부평시장
6595,2022-07-13,11624,부평시장
6597,2022-07-14,13467,부평시장
6599,2022-07-15,13719,부평시장
6601,2022-07-16,9148,부평시장
6603,2022-07-17,6889,부평시장
6605,2022-07-18,12934,부평시장
6607,2022-07-19,13039,부평시장
6609,2022-07-20,13138,부평시장
6611,2022-07-21,12667,부평시장
6613,2022-07-22,13223,부평시장
6615,2022-07-23,8729,부평시장
6617,2022-07-24,6503,부평시장
6619,2022-07-25,12595,부평시장
6621,2022-07-26,12809,부평시장
6623,2022-07-27,12408,부평시장
6625,2022-07-28,12253,부평시장
6627,2022-07-29,12144,부평시장
6629,2022-07-30,7572,부평시장
6631,2022-07-31,5589,부평시장
6633,2022-08-01,11022,부평시장
6635,2022-08-02,10715,부평시장
6637,2022-08-03,11108,부평시장
6639,2022-08-04,11582,부평시장
6641,2022-08-05,12007,부평시장
6643,2022-08-06,8297,부평시장
6645,2022-08-07,6220,부평시장
6647,2022-08-08,10814,부평시장
6649,2022-08-09,10651,부평시장
6651,2022-08-10,12048,부평시장
6653,2022-08-11,12101,부평시장
6655,2022-08-12,12772,부평시장
6657,2022-08-13,7909,부평시장
6659,2022-08-14,6635,부평시장
6661,2022-08-15,6382,부평시장
6663,2022-08-16,12454,부평시장
6665,2022-08-17,12668,부평시장
6667,2022-08-18,12905,부평시장
6669,2022-08-19,12622,부평시장
6671,2022-08-20,8856,부평시장
6673,2022-08-21,6677,부평시장
6675,2022-08-22,12497,부평시장
6677,2022-08-23,12941,부평시장
6679,2022-08-24,12988,부평시장
6681,2022-08-25,12640,부평시장
6683,2022-08-26,13603,부평시장
6685,2022-08-27,9648,부평시장
6687,2022-08-28,7522,부평시장
6689,2022-08-29,12780,부평시장
6691,2022-08-30,12321,부평시장
6693,2022-08-31,13507,부평시장
6695,2022-09-01,13674,부평시장
6697,2022-09-02,14154,부평시장
6699,2022-09-03,10095,부평시장
6701,2022-09-04,6442,부평시장
6703,2022-09-05,11530,부평시장
6705,2022-09-06,13034,부평시장
6707,2022-09-07,13968,부평시장
6709,2022-09-08,14154,부평시장
6711,2022-09-09,6599,부평시장
6713,2022-09-10,4364,부평시장
6715,2022-09-11,6042,부평시장
6717,2022-09-12,6373,부평시장
6719,2022-09-13,12861,부평시장
6721,2022-09-14,13113,부평시장
6723,2022-09-15,13543,부평시장
6725,2022-09-16,13815,부평시장
6727,2022-09-17,9690,부평시장
6729,2022-09-18,7190,부평시장
6731,2022-09-19,13102,부평시장
6733,2022-09-20,13964,부평시장
6735,2022-09-21,13621,부평시장
6737,2022-09-22,13746,부평시장
6739,2022-09-23,13902,부평시장
6741,2022-09-24,10035,부평시장
6743,2022-09-25,7400,부평시장
6745,2022-09-26,13163,부평시장
6747,2022-09-27,13547,부평시장
6749,2022-09-28,13703,부평시장
6751,2022-09-29,13480,부평시장
6753,2022-09-30,14468,부평시장
6755,2022-10-01,12779,부평시장
6757,2022-10-02,9398,부평시장
6759,2022-10-03,5892,부평시장
6761,2022-10-04,13173,부평시장
6763,2022-10-05,13640,부평시장
6765,2022-10-06,13557,부평시장
6767,2022-10-07,13782,부평시장
6769,2022-10-08,9534,부평시장
6771,2022-10-09,6298,부평시장
6773,2022-10-10,7135,부평시장
6775,2022-10-11,13444,부평시장
6777,2022-10-12,13545,부평시장
6779,2022-10-13,13789,부평시장
6781,2022-10-14,13881,부평시장
6783,2022-10-15,10062,부평시장
