,ds,y,location
2921,2022-07-01,10090,계산
2923,2022-07-02,8878,계산
2925,2022-07-03,6545,계산
2927,2022-07-04,9920,계산
2929,2022-07-05,9747,계산
2931,2022-07-06,9999,계산
2933,2022-07-07,9423,계산
2935,2022-07-08,9845,계산
2937,2022-07-09,8825,계산
2939,2022-07-10,6537,계산
2941,2022-07-11,9558,계산
2943,2022-07-12,9814,계산
2945,2022-07-13,8605,계산
2947,2022-07-14,9941,계산
2949,2022-07-15,10106,계산
2951,2022-07-16,8358,계산
2953,2022-07-17,6592,계산
2955,2022-07-18,9584,계산
2957,2022-07-19,9609,계산
2959,2022-07-20,9524,계산
2961,2022-07-21,9254,계산
2963,2022-07-22,9732,계산
2965,2022-07-23,7838,계산
2967,2022-07-24,5637,계산
2969,2022-07-25,9464,계산
2971,2022-07-26,9287,계산
2973,2022-07-27,9338,계산
2975,2022-07-28,9140,계산
2977,2022-07-29,9052,계산
2979,2022-07-30,6690,계산
2981,2022-07-31,4885,계산
2983,2022-08-01,8013,계산
2985,2022-08-02,7779,계산
2987,2022-08-03,8131,계산
2989,2022-08-04,8726,계산
2991,2022-08-05,8873,계산
2993,2022-08-06,7430,계산
2995,2022-08-07,5513,계산
2997,2022-08-08,7729,계산
2999,2022-08-09,7631,계산
3001,2022-08-10,8794,계산
3003,2022-08-11,8497,계산
3005,2022-08-12,9272,계산
3007,2022-08-13,6531,계산
3009,2022-08-14,5857,계산
3011,2022-08-15,5448,계산
3013,2022-08-16,8938,계산
3015,2022-08-17,9259,계산
3017,2022-08-18,9118,계산
3019,2022-08-19,9139,계산
3021,2022-08-20,7746,계산
3023,2022-08-21,6467,계산
3025,2022-08-22,9006,계산
3027,2022-08-23,9091,계산
3029,2022-08-24,9385,계산
3031,2022-08-25,9199,계산
3033,2022-08-26,9749,계산
3035,2022-08-27,8799,계산
3037,2022-08-28,7060,계산
3039,2022-08-29,10055,계산
3041,2022-08-30,9884,계산
3043,2022-08-31,10812,계산
3045,2022-09-01,11099,계산
3047,2022-09-02,11036,계산
3049,2022-09-03,8850,계산
3051,2022-09-04,5265,계산
3053,2022-09-05,9356,계산
3055,2022-09-06,8784,계산
3057,2022-09-07,11035,계산
3059,2022-09-08,11062,계산
3061,2022-09-09,5639,계산
3063,2022-09-10,4690,계산
3065,2022-09-11,6187,계산
3067,2022-09-12,6764,계산
3069,2022-09-13,10711,계산
3071,2022-09-14,10844,계산
3073,2022-09-15,11173,계산
3075,2022-09-16,10768,계산
3077,2022-09-17,8830,계산
3079,2022-09-18,7051,계산
3081,2022-09-19,10579,계산
3083,2022-09-20,11377,계산
3085,2022-09-21,11512,계산
3087,2022-09-22,11433,계산
3089,2022-09-23,11308,계산
3091,2022-09-24,10114,계산
3093,2022-09-25,8019,계산
3095,2022-09-26,10950,계산
3097,2022-09-27,11318,계산
3099,2022-09-28,11413,계산
3101,2022-09-29,11275,계산
3103,2022-09-30,11319,계산
3105,2022-10-01,10255,계산
3107,2022-10-02,7261,계산
3109,2022-10-03,4984,계산
