지점,지점명,일시,평균기온(°C)
112,인천,2022-09-01,23.9
112,인천,2022-09-02,25.1
112,인천,2022-09-03,24.5
112,인천,2022-09-04,22.9
112,인천,2022-09-05,18.5
112,인천,2022-09-06,20.9
112,인천,2022-09-07,22.6
112,인천,2022-09-08,22.4
112,인천,2022-09-09,24.1
112,인천,2022-09-10,23.7
112,인천,2022-09-11,22.7
112,인천,2022-09-12,23.2
112,인천,2022-09-13,24.3
112,인천,2022-09-14,24.4
112,인천,2022-09-15,25.6
112,인천,2022-09-16,25.3
112,인천,2022-09-17,24.5
112,인천,2022-09-18,25.8
112,인천,2022-09-19,23.2
112,인천,2022-09-20,19.1
112,인천,2022-09-21,18.6
112,인천,2022-09-22,19.7
112,인천,2022-09-23,17.8
112,인천,2022-09-24,18.7
112,인천,2022-09-25,20
112,인천,2022-09-26,19.8
112,인천,2022-09-27,20.4
112,인천,2022-09-28,20.1
112,인천,2022-09-29,19.7
112,인천,2022-09-30,19.8
112,인천,2022-10-01,19.6
