지점,지점명,일시,평균기온(°C)
112,인천,2023-01-01,-.6
112,인천,2023-01-02,-4.6
112,인천,2023-01-03,-4.6
112,인천,2023-01-04,-1.5
112,인천,2023-01-05,-1.6
112,인천,2023-01-06,1.7
112,인천,2023-01-07,1.5
112,인천,2023-01-08,1.9
112,인천,2023-01-09,2.1
112,인천,2023-01-10,.5
112,인천,2023-01-11,1.9
112,인천,2023-01-12,6.1
112,인천,2023-01-13,7.3
112,인천,2023-01-14,5.4
112,인천,2023-01-15,-1.6
112,인천,2023-01-16,-5.5
112,인천,2023-01-17,-3.5
112,인천,2023-01-18,-2.6
112,인천,2023-01-19,.6
112,인천,2023-01-20,-3.3
112,인천,2023-01-21,-4.3
112,인천,2023-01-22,0
112,인천,2023-01-23,-1.4
112,인천,2023-01-24,-14.6
112,인천,2023-01-25,-11.3
112,인천,2023-01-26,-5.4
112,인천,2023-01-27,-7
112,인천,2023-01-28,-5.5
112,인천,2023-01-29,-1.5
112,인천,2023-01-30,-.6
112,인천,2023-01-31,2.7
