지점,지점명,일시,평균기온(°C)
112,인천,2023-05-01,13.1
112,인천,2023-05-02,16
112,인천,2023-05-03,18.9
112,인천,2023-05-04,20.2
112,인천,2023-05-05,17.6
112,인천,2023-05-06,12.9
112,인천,2023-05-07,14.3
112,인천,2023-05-08,14.1
112,인천,2023-05-09,14.1
112,인천,2023-05-10,16.6
112,인천,2023-05-11,17.6
112,인천,2023-05-12,16.7
112,인천,2023-05-13,15.9
112,인천,2023-05-14,16.7
112,인천,2023-05-15,19.4
112,인천,2023-05-16,21.3
112,인천,2023-05-17,21.1
112,인천,2023-05-18,20.6
112,인천,2023-05-19,21.2
112,인천,2023-05-20,18.3
112,인천,2023-05-21,15.2
112,인천,2023-05-22,18.2
112,인천,2023-05-23,19.2
112,인천,2023-05-24,18.4
112,인천,2023-05-25,19.5
112,인천,2023-05-26,20.1
112,인천,2023-05-27,19
112,인천,2023-05-28,18.1
112,인천,2023-05-29,21
112,인천,2023-05-30,22.3
112,인천,2023-05-31,21
