지점,지점명,일시,평균기온(°C)
112,인천,2023-06-01,21.1
112,인천,2023-06-02,18.6
112,인천,2023-06-03,20.6
112,인천,2023-06-04,19.5
112,인천,2023-06-05,19.4
112,인천,2023-06-06,19.2
112,인천,2023-06-07,19.6
112,인천,2023-06-08,19.2
112,인천,2023-06-09,21
112,인천,2023-06-10,21.8
112,인천,2023-06-11,21.6
112,인천,2023-06-12,20.2
112,인천,2023-06-13,20.4
112,인천,2023-06-14,20.5
112,인천,2023-06-15,20.8
112,인천,2023-06-16,21.7
112,인천,2023-06-17,22.2
112,인천,2023-06-18,23.1
112,인천,2023-06-19,25.5
112,인천,2023-06-20,22.9
112,인천,2023-06-21,20.4
112,인천,2023-06-22,21.5
112,인천,2023-06-23,23.2
112,인천,2023-06-24,24.6
112,인천,2023-06-25,26.7
112,인천,2023-06-26,23.2
112,인천,2023-06-27,23.6
112,인천,2023-06-28,24.2
112,인천,2023-06-29,23.2
112,인천,2023-06-30,23.9
